course_id,tag
CEHD291,Undergraduate
CEHD300,Advanced
CEHD491,Advanced
CHEM100,Undergraduate
CHEM105,Undergraduate
CHEM106,Undergraduate
CHEM107,Undergraduate
CHEM116,Undergraduate
CHEM117,Undergraduate
CHEM119,Undergraduate
CHEM120,Undergraduate
CHEM181,Undergraduate
CHEM220,Undergraduate
CHEM222,Undergraduate
CHEM227,Undergraduate
CHEM228,Undergraduate
CHEM231,Undergraduate
CHEM234,Undergraduate
CHEM237,Undergraduate
CHEM238,Undergraduate
CHEM242,Undergraduate
CHEM257,Undergraduate
CHEM258,Undergraduate
CHEM285,Undergraduate
CHEM289,Undergraduate
CHEM291,Undergraduate
CHEM310,Advanced
CHEM311,Advanced
CHEM315,Advanced
CHEM316,Advanced
CHEM318,Advanced
CHEM321,Advanced
CHEM322,Advanced
CHEM325,Advanced
CHEM326,Advanced
CHEM327,Advanced
CHEM328,Advanced
CHEM362,Advanced
CHEM383,Advanced
CHEM415,Advanced
CHEM433,Advanced
CHEM434,Advanced
CHEM446,Advanced
CHEM456,Advanced
CHEM458,Advanced
CHEM462,Advanced
CHEM464,Advanced
CHEM466,Advanced
CHEM468,Advanced
CHEM470,Advanced
CHEM481,Advanced
CHEM483,Advanced
CHEM484,Advanced
CHEM485,Advanced
CHEM489,Advanced
CHEM491,Advanced
CHEN201,Undergraduate
CHEN204,Undergraduate
CHEN205,Undergraduate
CHEN285,Undergraduate
CHEN289,Undergraduate
CHEN291,Undergraduate
CHEN304,Advanced
CHEN320,Advanced
CHEN322,Advanced
CHEN323,Advanced
CHEN324,Advanced
CHEN354,Advanced
CHEN364,Advanced
CHEN374,Advanced
CHEN399,Advanced
CHEN410,Advanced
CHEN422,Advanced
CHEN425,Advanced
CHEN426,Advanced
CHEN430,Advanced
CHEN432,Advanced
CHEN433,Advanced
CHEN449,Advanced
CHEN450,Advanced
CHEN451,Advanced
CHEN455,Advanced
CHEN456,Advanced
CHEN457,Advanced
CHEN459,Advanced
CHEN460,Advanced
CHEN461,Advanced
CHEN463,Advanced
CHEN465,Advanced
CHEN468,Advanced
CHEN469,Advanced
CHEN471,Advanced
CHEN473,Advanced
CHEN475,Advanced
CHEN476,Advanced
CHEN478,Advanced
CHEN479,Advanced
CHEN481,Advanced
CHEN482,Advanced
CHEN484,Advanced
CHEN485,Advanced
CHEN489,Advanced
CHEN491,Advanced
CHIN101,Undergraduate
CHIN102,Undergraduate
CHIN201,Undergraduate
CHIN202,Undergraduate
CHIN250,Undergraduate
CHIN285,Undergraduate
CHIN289,Undergraduate
CHIN301,Advanced
CHIN302,Advanced
CHIN316,Advanced
CHIN405,Advanced
CHIN465,Advanced
CHIN485,Advanced
CHIN489,Advanced
CHIN491,Advanced
CLAS101,Undergraduate
CLAS102,Undergraduate
CLAS121,Undergraduate
CLAS122,Undergraduate
CLAS211,Undergraduate
CLAS220,Undergraduate
CLAS221,Undergraduate
CLAS222,Undergraduate
CLAS236,Undergraduate
CLAS250,Undergraduate
CLAS251,Undergraduate
CLAS261,Undergraduate
CLAS262,Undergraduate
CLAS285,Undergraduate
CLAS289,Undergraduate
CLAS291,Undergraduate
CLAS311,Advanced
CLAS312,Advanced
CLAS313,Advanced
CLAS320,Advanced
CLAS321,Advanced
CLAS322,Advanced
CLAS330,Advanced
CLAS352,Advanced
CLAS353,Advanced
CLAS354,Advanced
CLAS371,Advanced
CLAS372,Advanced
CLAS410,Advanced
CLAS415,Advanced
CLAS417,Advanced
CLAS418,Advanced
CLAS426,Advanced
CLAS427,Advanced
CLAS428,Advanced
CLAS429,Advanced
CLAS444,Advanced
CLAS485,Advanced
CLAS489,Advanced
CLAS491,Advanced
CLEN101,Undergraduate
CLEN181,Undergraduate
CLEN201,Undergraduate
CLEN261,Undergraduate
CLEN289,Undergraduate
CLEN301,Advanced
CLEN302,Advanced
CLEN303,Advanced
CLEN304,Advanced
COMM101,Undergraduate
COMM107,Undergraduate
COMM203,Undergraduate
COMM204,Undergraduate
COMM205,Undergraduate
COMM210,Undergraduate
COMM215,Undergraduate
COMM230,Undergraduate
COMM240,Undergraduate
COMM243,Undergraduate
COMM245,Undergraduate
COMM248,Undergraduate
COMM250,Undergraduate
COMM255,Undergraduate
COMM257,Undergraduate
COMM260,Undergraduate
COMM265,Undergraduate
COMM275,Undergraduate
COMM280,Undergraduate
COMM285,Undergraduate
COMM289,Undergraduate
COMM291,Undergraduate
COMM301,Advanced
COMM302,Advanced
COMM303,Advanced
COMM304,Advanced
COMM305,Advanced
COMM307,Advanced
COMM308,Advanced
COMM309,Advanced
COMM310,Advanced
COMM315,Advanced
COMM316,Advanced
COMM317,Advanced
COMM320,Advanced
COMM321,Advanced
COMM322,Advanced
COMM323,Advanced
COMM324,Advanced
COMM325,Advanced
COMM326,Advanced
COMM330,Advanced
COMM335,Advanced
COMM338,Advanced
COMM340,Advanced
COMM342,Advanced
COMM343,Advanced
COMM345,Advanced
COMM346,Advanced
COMM350,Advanced
COMM354,Advanced
COMM360,Advanced
COMM365,Advanced
COMM370,Advanced
COMM375,Advanced
COMM377,Advanced
COMM403,Advanced
COMM407,Advanced
COMM410,Advanced
COMM411,Advanced
COMM415,Advanced
COMM420,Advanced
COMM423,Advanced
COMM425,Advanced
COMM428,Advanced
COMM431,Advanced
COMM434,Advanced
COMM435,Advanced
COMM437,Advanced
COMM438,Advanced
COMM440,Advanced
COMM443,Advanced
COMM446,Advanced
COMM447,Advanced
COMM450,Advanced
