2026-03-30 14:16:36,817 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:36,817 | INFO     | tamu_crawler | Source honors: 0 raw → 0 normalised events
2026-03-30 14:16:36,817 | INFO     | tamu_crawler | ━━━ Crawling source: performing_arts (livewhale_json) ━━━
2026-03-30 14:16:36,817 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.95s
2026-03-30 14:16:37,765 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/json/events/group/Performing%20Arts
2026-03-30 14:16:38,106 | INFO     | tamu_crawler.parsers.livewhale | Parsed 0 events from performing_arts (of 0 raw)
2026-03-30 14:16:38,107 | INFO     | tamu_crawler.normalizer | Normalised 0 events from 0 raw (filtered 0)
2026-03-30 14:16:38,107 | INFO     | tamu_crawler | Source performing_arts: 0 raw → 0 normalised events
2026-03-30 14:16:38,107 | INFO     | tamu_crawler | ━━━ Crawling source: feeds (rss_directory) ━━━
2026-03-30 14:16:38,819 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/feeds/
2026-03-30 14:16:38,901 | INFO     | tamu_crawler.parsers.rss | Discovered 166 feed URLs from https://calendar.tamu.edu/feeds/
2026-03-30 14:16:38,902 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.92s
2026-03-30 14:16:39,820 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/feeds
2026-03-30 14:16:40,059 | INFO     | tamu_crawler.parsers.rss | Parsed 0 entries from RSS feed https://calendar.tamu.edu/feeds
2026-03-30 14:16:40,060 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.76s
2026-03-30 14:16:40,821 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/rss/events/group/Office of the Registrar
2026-03-30 14:16:40,960 | INFO     | tamu_crawler.parsers.rss | Parsed 97 entries from RSS feed https://calendar.tamu.edu/live/rss/events/group/Office of the Registrar
2026-03-30 14:16:40,960 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.86s
2026-03-30 14:16:41,823 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/rss/events/group/Academic Success Center
2026-03-30 14:16:41,903 | INFO     | tamu_crawler.parsers.rss | Parsed 0 entries from RSS feed https://calendar.tamu.edu/live/rss/events/group/Academic Success Center
2026-03-30 14:16:41,903 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.92s
2026-03-30 14:16:42,824 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/rss/events/group/Academy for the Visual and Performing Arts
2026-03-30 14:16:42,901 | INFO     | tamu_crawler.parsers.rss | Parsed 0 entries from RSS feed https://calendar.tamu.edu/live/rss/events/group/Academy for the Visual and Performing Arts
2026-03-30 14:16:42,901 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.92s
2026-03-30 14:16:43,825 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/rss/events/group/Aggie Athletics
2026-03-30 14:16:43,951 | INFO     | tamu_crawler.parsers.rss | Parsed 198 entries from RSS feed https://calendar.tamu.edu/live/rss/events/group/Aggie Athletics
2026-03-30 14:16:43,952 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.87s
2026-03-30 14:16:44,826 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/rss/events/group/Aggie One Stop
2026-03-30 14:16:44,962 | INFO     | tamu_crawler.parsers.rss | Parsed 101 entries from RSS feed https://calendar.tamu.edu/live/rss/events/group/Aggie One Stop
2026-03-30 14:16:44,962 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.86s
2026-03-30 14:16:45,827 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/rss/events/group/Annenberg Presidential Conference Center
2026-03-30 14:16:45,890 | INFO     | tamu_crawler.parsers.rss | Parsed 0 entries from RSS feed https://calendar.tamu.edu/live/rss/events/group/Annenberg Presidential Conference Center
2026-03-30 14:16:45,890 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.94s
2026-03-30 14:16:46,829 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/rss/events/group/Applicant Information System
2026-03-30 14:16:46,895 | INFO     | tamu_crawler.parsers.rss | Parsed 0 entries from RSS feed https://calendar.tamu.edu/live/rss/events/group/Applicant Information System
2026-03-30 14:16:46,896 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.93s
2026-03-30 14:16:47,830 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/rss/events/group/Applied Biodiversity Science Program
2026-03-30 14:16:47,969 | INFO     | tamu_crawler.parsers.rss | Parsed 0 entries from RSS feed https://calendar.tamu.edu/live/rss/events/group/Applied Biodiversity Science Program
2026-03-30 14:16:47,969 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.86s
2026-03-30 14:16:48,831 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/rss/events/group/Department of Atmospheric Sciences
2026-03-30 14:16:48,921 | INFO     | tamu_crawler.parsers.rss | Parsed 0 entries from RSS feed https://calendar.tamu.edu/live/rss/events/group/Department of Atmospheric Sciences
2026-03-30 14:16:48,921 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.91s
2026-03-30 14:16:49,832 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/rss/events/group/Bush School
2026-03-30 14:16:49,897 | INFO     | tamu_crawler.parsers.rss | Parsed 1 entries from RSS feed https://calendar.tamu.edu/live/rss/events/group/Bush School
2026-03-30 14:16:49,897 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.93s
2026-03-30 14:16:50,833 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/rss/events/group/Career Center
2026-03-30 14:16:50,928 | INFO     | tamu_crawler.parsers.rss | Parsed 16 entries from RSS feed https://calendar.tamu.edu/live/rss/events/group/Career Center
2026-03-30 14:16:50,928 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.90s
2026-03-30 14:16:51,834 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/rss/events/group/Center for Teaching Excellence
2026-03-30 14:16:51,951 | INFO     | tamu_crawler.parsers.rss | Parsed 29 entries from RSS feed https://calendar.tamu.edu/live/rss/events/group/Center for Teaching Excellence
2026-03-30 14:16:51,951 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.88s
2026-03-30 14:16:52,835 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/rss/events/group/Center of Digital Humanities Research
2026-03-30 14:16:52,909 | INFO     | tamu_crawler.parsers.rss | Parsed 0 entries from RSS feed https://calendar.tamu.edu/live/rss/events/group/Center of Digital Humanities Research
2026-03-30 14:16:52,909 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.93s
2026-03-30 14:16:53,837 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/rss/events/group/Center of Excellence in Cancer Research
2026-03-30 14:16:53,948 | INFO     | tamu_crawler.parsers.rss | Parsed 2 entries from RSS feed https://calendar.tamu.edu/live/rss/events/group/Center of Excellence in Cancer Research
2026-03-30 14:16:53,949 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.89s
2026-03-30 14:16:54,838 | INFO     | tamu_crawler.http | Fetching: https://calendar.tamu.edu/live/rss/events/group/Chemistry Roadshow
2026-03-30 14:16:54,921 | INFO     | tamu_crawler.parsers.rss | Parsed 6 entries from RSS feed https://calendar.tamu.edu/live/rss/events/group/Chemistry Roadshow
2026-03-30 14:16:54,922 | DEBUG    | tamu_crawler.http | Rate-limiting calendar.tamu.edu: sleeping 0.92s
